Tag,h2.2008,h1.2009,h2.2009,h1.2010,h2.2010,h1.2011,h2.2011,h1.2012,h2.2012,h1.2013,h2.2013,h1.2014,h2.2014,h1.2015,h2.2015,h1.2016,h2.2016,h1.2017,h2.2017,h1.2018,h2.2018,h1.2019,h2.2019,TopicNumber,Propensity
adodb,9,13,30,42,45,42,62,57,73,80,81,109,107,98,80,84,76,71,94,59,79,87,23,topic_280,0.15073048
react-context,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,68,139,67,topic_671,0.054005723
nightmare,0,0,0,0,0,0,0,0,0,0,0,0,6,7,27,37,64,86,64,48,39,32,13,topic_768,0.029972753
xjc,1,4,10,8,15,21,31,49,49,44,51,34,52,44,41,41,28,30,25,21,18,32,5,topic_917,0.03808909
django-mptt,0,5,2,8,5,16,9,20,20,21,18,22,13,17,16,9,17,7,15,16,13,12,2,topic_114,0.04365578
mstest,40,63,87,113,132,163,164,171,174,182,172,131,105,120,100,151,99,108,117,106,132,118,50,topic_856,0.043674745
mapreduce,9,17,28,102,136,233,341,598,751,884,985,1014,935,1065,884,832,649,608,404,396,338,292,73,topic_569,0.35846192
winrt-xaml,0,0,0,0,0,0,2,176,573,654,500,478,417,384,317,255,83,26,16,12,5,7,5,topic_459,0.33806598
terraform,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,67,102,238,374,529,692,967,452,topic_660,0.18374558
default-constructor,3,4,5,15,18,22,21,25,29,41,46,54,35,40,45,36,45,24,20,37,24,24,12,topic_101,0.010138671
tableau-public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,23,26,17,25,22,30,7,topic_372,0.015627824
send,3,11,25,48,51,85,96,141,142,161,147,156,124,131,104,83,80,81,59,72,42,54,12,topic_519,0.07949703
icloud,0,0,0,0,0,2,123,230,231,201,172,196,226,189,183,142,111,99,95,54,91,60,22,topic_526,0.086775824
process.start,2,2,6,11,16,18,18,22,36,28,37,44,18,27,24,12,22,17,17,12,18,23,4,topic_966,0.017021783
firebase-cli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,105,100,82,27,topic_253,0.018423868
c++03,5,3,2,3,5,5,16,29,42,60,38,50,75,61,63,44,51,47,46,20,33,23,10,topic_620,0.04009254
sqlsrv,0,0,0,0,0,1,0,1,2,23,47,56,42,42,42,54,47,59,58,62,48,42,52,topic_346,0.062459398
gif,11,21,26,46,47,78,97,108,119,168,156,149,153,145,161,175,165,153,119,114,112,126,44,topic_730,0.29619047
scala,22,143,473,838,1236,1754,2575,2479,3060,3874,4679,5254,5229,6071,6823,7153,7563,7051,6609,6405,5376,5219,1754,topic_19,0.79087734
scale,0,18,28,58,80,123,169,204,227,297,271,283,238,219,196,192,159,193,159,146,147,164,56,topic_466,0.19203648
spring-rabbit,0,0,0,0,0,0,3,2,2,9,8,10,27,43,40,36,54,66,49,37,33,11,9,topic_230,0.061490506
openssh,4,8,11,13,26,25,29,35,39,48,39,46,47,31,36,73,47,46,40,60,59,70,27,topic_503,0.07623639
wildcard,12,25,54,91,73,120,120,152,215,229,227,233,244,220,231,202,190,216,187,177,175,168,57,topic_477,0.24253203
gis,36,52,75,110,128,130,140,174,194,212,202,215,184,236,276,288,231,280,240,249,309,294,120,topic_976,0.072283976
taglib,8,14,26,20,32,58,58,63,84,74,68,63,61,57,42,48,41,33,25,17,19,15,6,topic_451,0.15393557
security,640,1120,1451,1823,2145,2788,2546,2936,2843,2989,2824,2936,2267,2552,2386,2313,2001,1968,1777,1724,1810,1617,556,topic_105,0.9427371
git,211,553,1060,1551,2025,3090,3602,4605,5216,5844,6457,7111,6575,7199,7636,7966,7249,7393,6804,6655,6400,6377,2008,topic_914,0.9712595
idisposable,14,70,59,84,80,84,84,76,67,72,92,62,60,49,56,42,50,38,29,25,24,28,3,topic_805,0.055852618
asynchronous,72,212,318,453,546,817,1023,1230,1468,1734,1906,2300,2160,2343,2619,2660,2430,2517,2605,2330,2298,2270,768,topic_455,0.50791174
jquery-masonry,0,0,0,0,1,25,51,102,168,168,173,135,82,80,70,44,41,29,26,15,8,13,2,topic_411,0.059969723
azure-kubernetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,115,134,38,topic_488,0.004911074
axapta,14,9,35,25,37,69,75,166,151,143,95,193,159,167,174,169,182,168,83,65,63,52,17,topic_752,0.11572819
relational-division,1,2,0,1,2,2,11,21,16,30,30,28,21,17,20,14,13,20,20,7,15,16,7,topic_711,0.009304986
c++14,0,0,0,0,1,0,1,1,2,32,79,154,252,437,624,679,722,772,659,629,518,467,164,topic_923,0.32563278
factory,25,52,43,66,78,74,83,84,80,133,140,171,171,199,210,190,159,132,106,115,104,125,34,topic_900,0.09299883
c++11,18,38,58,181,352,657,992,1269,1881,2854,3163,3675,3486,3926,4111,4120,3647,3484,3068,2695,2249,2021,638,topic_47,0.8586478
implementation,0,25,59,73,95,132,122,142,154,163,143,35,56,96,68,77,55,57,50,47,49,64,18,topic_835,0.20170455
google-closure,0,0,11,13,24,19,54,42,76,68,61,39,33,35,20,16,1,0,0,0,1,6,1,topic_842,0.06454443
least-squares,1,0,3,5,9,17,14,26,33,40,32,47,50,54,34,45,47,53,51,46,55,57,17,topic_642,0.023168838
c++17,1,0,0,0,2,1,0,1,0,0,3,4,11,30,73,116,265,378,568,632,840,970,324,topic_930,0.19834322
datacontext,10,70,79,100,91,110,89,90,96,94,65,75,58,52,53,54,48,29,19,25,39,31,6,topic_5,0.054185838
react-props,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,51,186,226,221,74,topic_160,0.076532684
xml-signature,2,5,5,12,12,21,7,24,20,16,20,19,21,14,19,21,18,21,19,17,15,17,5,topic_876,0.003300551
togglebutton,0,4,8,7,20,51,54,55,60,72,102,66,64,63,59,49,56,49,50,22,40,15,5,topic_487,0.05713948
heroku-toolbelt,0,0,0,0,0,0,0,0,16,63,62,41,29,54,52,58,26,28,28,28,10,5,2,topic_530,0.032731824
iisnode,0,0,0,0,0,0,4,12,21,21,17,21,16,13,25,26,21,26,30,15,17,34,14,topic_410,0.005691085
gson,0,0,2,21,63,150,169,228,274,378,405,514,472,586,626,626,625,662,528,513,515,489,142,topic_337,0.1998598
gitlab-ci,0,0,0,0,0,0,0,0,0,0,2,14,24,22,82,129,190,268,273,330,444,578,193,topic_321,0.13709113
xls,7,20,24,28,28,64,70,98,99,144,106,91,76,87,79,86,76,78,78,79,72,66,28,topic_511,0.09382613
ghostscript,6,13,18,21,49,53,57,98,102,115,125,114,122,114,85,103,140,105,78,98,92,78,33,topic_549,0.053762484
amazon-sqs,0,3,5,7,10,18,18,38,37,44,57,72,79,108,135,134,146,161,145,200,265,297,110,topic_331,0.059000056
httprequest,6,10,45,78,100,158,185,226,246,400,406,410,358,332,413,427,367,347,325,407,343,331,138,topic_120,0.21224447
android-debug,0,0,0,0,0,0,0,0,1,30,46,29,27,43,24,28,31,17,15,24,22,13,4,topic_504,0.016433584
flicker,3,12,19,28,27,44,42,58,51,52,63,56,48,48,28,34,20,23,19,18,18,29,9,topic_168,0.106973395
multitasking,0,0,5,18,122,100,81,75,48,57,65,42,29,27,51,36,31,23,23,27,19,14,7,topic_476,0.035307113
vb6-migration,9,14,18,26,41,29,45,47,51,53,31,34,15,16,25,29,16,15,8,18,33,14,2,topic_126,0.031404603
stylus,0,0,0,0,0,4,5,32,35,33,54,67,71,84,77,64,50,59,41,43,31,27,8,topic_199,0.09424843
selinux,3,4,4,3,7,4,5,8,20,19,19,25,30,36,27,38,33,43,31,29,40,42,18,topic_769,0.017439341
azure-table-storage,0,1,3,15,40,61,53,103,123,124,111,102,54,83,72,114,116,138,121,109,119,92,41,topic_577,0.05536482
android-cursor,0,0,2,2,2,5,28,43,50,82,48,100,67,79,50,59,38,56,34,41,22,20,9,topic_239,0.04282038
mpi4py,0,0,0,0,0,0,0,0,1,0,2,18,20,16,25,37,27,26,35,27,34,27,16,topic_61,0.009462552
intel-xdk,0,0,0,0,0,0,0,0,0,0,12,134,158,151,132,125,78,45,7,2,1,0,0,topic_56,0.074421905
normal-distribution,3,0,6,3,7,10,8,26,29,45,39,57,37,53,60,51,58,64,62,54,76,66,17,topic_581,0.039529096
xml,973,2034,3255,4241,5314,7778,8215,9753,9963,10915,12336,13794,11688,12043,11478,11643,9928,10048,8444,7085,6522,6406,2100,topic_670,0.91108686
quantile,0,0,1,3,3,4,2,0,17,19,20,18,34,38,30,37,36,39,41,46,35,46,11,topic_134,0.021876296
mesosphere,0,0,0,0,0,0,0,0,0,0,0,5,15,69,77,84,51,43,31,22,27,17,2,topic_939,0.030840727
configurationmanager,6,11,17,13,16,32,23,21,44,29,33,27,22,28,25,33,24,24,20,18,25,10,7,topic_704,0.010664236
persistent,3,3,16,18,27,37,48,47,44,55,37,45,34,44,40,35,33,25,18,24,20,21,5,topic_517,0.01930347
xtrareport,0,1,9,7,5,12,7,23,19,9,15,16,23,15,21,9,7,14,5,10,17,8,3,topic_635,0.010746679
android-transitions,0,0,0,0,0,0,1,0,0,1,1,8,28,60,97,63,73,61,55,61,63,44,13,topic_883,0.017814828
pyglet,5,4,10,11,16,12,9,34,37,42,26,43,30,41,25,27,35,47,32,33,35,77,20,topic_363,0.012919483
load-balancing,33,52,50,71,78,100,107,155,191,198,181,180,212,231,231,271,231,256,226,221,264,248,99,topic_636,0.19590126
glm,0,0,0,1,2,4,16,15,22,39,58,76,64,76,77,87,86,106,100,86,118,148,56,topic_775,0.03548387
android-intentservice,0,0,0,0,1,2,2,0,0,1,2,30,37,55,61,48,53,29,32,27,26,23,6,topic_732,0.004357254
openmpi,0,3,3,10,14,13,22,41,56,54,71,75,52,51,67,79,62,82,64,60,49,64,20,topic_756,0.04720386
callstack,14,14,27,29,35,25,43,57,55,51,51,57,34,37,32,33,37,33,19,30,28,31,14,topic_547,0.104161106
xna,41,82,123,221,355,511,633,860,816,879,763,640,349,273,183,179,115,76,49,32,45,40,14,topic_121,0.199989
devise,0,0,0,19,275,676,779,893,886,997,1198,1267,1075,1054,978,1004,739,645,506,391,310,306,81,topic_336,0.2595099
bonjour,4,4,18,29,42,45,66,37,49,41,37,20,23,17,17,18,15,19,9,8,21,5,4,topic_871,0.0112037305
jcombobox,5,12,22,29,38,98,98,155,167,250,200,231,148,175,132,107,81,100,57,48,61,49,18,topic_139,0.11226755
glu,0,0,0,2,11,13,20,12,23,16,18,12,10,11,6,8,5,5,7,6,4,6,0,topic_850,0.0038591218
monolog,0,0,0,0,0,0,2,8,17,15,16,31,23,37,33,28,22,36,31,31,40,35,13,topic_718,0.07087695
deflate,4,7,9,16,19,17,17,30,28,31,28,35,27,22,19,29,19,30,12,22,24,12,7,topic_468,0.027952014
qthread,0,0,6,12,17,34,30,49,55,81,80,73,52,65,44,72,71,66,67,73,77,70,28,topic_109,0.058071226
delphi-2010,0,3,112,200,158,162,135,118,113,119,65,37,39,40,35,47,42,15,24,23,23,16,15,topic_313,0.018708663
uitabbar,0,3,32,61,89,147,140,150,168,146,133,147,107,119,133,104,94,57,82,76,72,69,14,topic_850,0.043425277
number-formatting,4,14,19,34,54,79,108,95,101,136,134,129,92,128,132,122,118,112,101,133,105,73,37,topic_892,0.08481222
kernel-extension,0,0,0,3,4,1,14,11,28,19,21,20,23,10,23,22,18,18,29,22,18,17,8,topic_309,0.0070359833
cygwin,61,107,116,153,189,277,340,439,399,536,530,500,425,463,421,412,327,347,265,233,226,221,48,topic_800,0.3834406
resharper,76,114,133,167,171,228,224,244,262,290,260,293,247,225,304,277,210,230,165,165,115,120,24,topic_459,0.39295298
android-navigation,0,0,0,0,0,0,1,1,2,1,52,77,66,53,40,38,16,13,16,28,65,72,36,topic_737,0.007193702
uiactivityviewcontroller,0,0,0,0,0,0,0,1,40,80,95,93,122,122,121,91,88,60,67,51,30,44,13,topic_539,0.093623824
gsub,0,0,7,22,13,29,26,49,37,57,70,108,115,112,135,151,124,128,155,135,115,126,41,topic_412,0.07127729
gmp,2,7,8,27,19,34,31,40,47,68,59,56,44,53,53,45,32,37,32,34,27,38,18,topic_948,0.07281597
android-install-apk,0,0,0,1,6,24,24,26,27,25,28,31,25,31,22,19,20,46,26,34,36,35,14,topic_487,0.029279545
opensaml,0,0,0,0,0,10,5,6,13,19,13,25,28,37,20,18,28,18,15,23,19,16,7,topic_590,0.020242915
three.js,0,0,0,0,2,4,70,215,659,969,1015,889,1010,1150,1127,1196,1095,1096,981,1060,1044,1064,309,topic_694,0.3396955
draggable,7,26,57,77,128,178,161,205,223,252,214,191,175,166,138,141,109,119,99,74,117,96,31,topic_443,0.3173876
delphi-2007,14,49,48,68,72,86,60,54,42,49,33,25,25,38,33,20,17,21,7,19,7,28,3,topic_313,0.009902437
delphi-2009,57,149,143,115,64,64,68,50,46,22,14,13,15,26,30,5,6,8,5,8,21,3,2,topic_295,0.08548818
typeorm,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,9,34,57,149,201,117,topic_846,0.03866576
xor,8,6,13,30,31,46,44,68,49,79,69,102,69,64,86,60,87,100,66,66,58,59,20,topic_579,0.115824856
zend-form,7,30,86,117,169,235,231,245,220,155,108,86,56,64,31,49,36,14,23,13,18,15,1,topic_875,0.04615278
.net-assembly,3,6,7,2,8,94,90,136,216,210,249,239,227,183,207,159,152,180,136,117,107,131,41,topic_832,0.04613105
v-for,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,33,52,65,69,26,topic_86,0.01963032
facebook-messenger-bot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,174,182,134,106,74,24,topic_414,0.05478401
form-for,1,5,7,14,23,44,52,63,55,82,77,89,74,69,45,53,47,33,17,14,11,21,9,topic_131,0.074128985
objectify,0,0,0,2,10,28,33,86,98,77,73,81,115,102,83,80,66,49,30,38,19,22,4,topic_684,0.04021675
union,13,32,50,77,97,149,161,209,239,267,244,286,247,219,208,218,211,218,194,231,183,203,81,topic_647,0.09852891
radio-group,1,0,2,1,5,26,27,47,47,67,64,74,49,38,38,50,42,58,37,38,61,46,11,topic_587,0.04446843
hadoop2,0,0,0,3,2,0,0,0,0,0,4,59,161,171,170,241,239,316,167,182,145,111,25,topic_899,0.06600583
qlikview,0,0,3,2,7,2,3,15,10,19,41,50,64,81,89,95,75,69,70,49,47,69,22,topic_547,0.11696453
gnu,18,33,38,47,63,102,90,133,121,148,125,124,121,112,144,134,113,101,114,80,111,108,36,topic_616,0.089783154
veins,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,63,44,79,60,52,48,67,20,topic_766,0.04331059
database-connection,27,58,84,112,169,269,261,326,317,385,402,410,341,399,323,363,301,305,237,258,272,269,90,topic_428,0.09519635
touchesbegan,0,1,0,9,28,19,24,37,25,27,19,36,38,31,35,30,23,16,18,10,5,6,1,topic_586,0.020245943
reducers,0,1,1,0,1,4,1,5,4,18,15,16,16,14,19,47,62,68,48,72,74,64,16,topic_851,0.009139785
pdb-files,12,19,17,24,20,12,14,14,3,20,24,25,18,30,19,15,18,22,14,17,14,22,6,topic_805,0.017703887
timeline,6,7,20,17,20,38,31,35,35,52,50,65,46,61,57,59,46,71,37,39,55,48,18,topic_647,0.022188554
xps,11,19,23,21,22,35,24,25,27,20,21,24,9,20,21,12,9,8,10,6,13,19,7,topic_223,0.023655025
stdout,21,39,67,79,113,135,148,184,176,217,227,234,200,200,220,196,179,206,179,197,171,186,60,topic_464,0.22007278
stored-procedures,233,470,643,753,909,1145,1166,1390,1626,1739,2076,2123,1967,2036,1828,2024,1733,1763,1552,1384,1156,1076,403,topic_81,0.8475543
ember-data,0,0,0,0,0,0,1,49,190,614,814,683,660,645,498,378,235,216,160,112,91,63,16,topic_988,0.13482922
inotify,1,3,6,14,17,20,34,36,47,33,38,21,22,26,20,28,24,25,23,21,21,19,16,topic_854,0.008350115
robots.txt,5,11,15,24,52,52,68,59,74,96,84,79,79,92,84,72,55,50,44,36,53,50,22,topic_192,0.015029554
autocad-plugin,0,0,0,0,0,2,3,3,7,13,21,13,13,29,34,18,20,12,31,13,16,14,6,topic_64,0.0143378945
crash-reports,3,5,19,14,29,51,42,60,92,105,83,95,81,109,110,70,85,93,82,73,45,33,17,topic_361,0.06451164
jformattedtextfield,0,0,1,7,5,8,20,18,21,25,28,31,19,18,18,10,11,7,3,4,6,5,4,topic_127,0.024619976
dapper,0,0,0,0,0,32,70,107,108,101,125,105,137,141,134,178,194,204,174,183,188,201,64,topic_150,0.09887795
i2c,1,6,6,5,8,12,19,10,32,43,38,55,58,72,63,84,85,103,91,86,84,131,41,topic_591,0.120499946
enumeration,29,41,38,57,58,117,92,90,77,96,110,119,93,71,82,83,73,67,52,52,47,64,20,topic_855,0.1465595
quicksort,2,11,16,28,35,62,73,85,118,116,156,181,154,196,158,168,165,162,128,108,108,142,35,topic_686,0.08412132
gsutil,0,0,0,0,0,0,1,0,3,11,16,28,40,35,33,27,35,39,58,56,52,58,13,topic_334,0.04464286
amazon-sns,0,0,0,2,3,5,3,11,12,17,45,62,65,82,126,146,169,150,175,184,193,187,79,topic_877,0.015440287
area,1,6,15,17,21,37,35,49,83,86,68,93,65,62,51,60,55,57,49,53,44,44,20,topic_353,0.115230784
gpl,12,24,36,35,45,33,41,35,28,10,14,8,7,4,2,1,1,0,0,0,0,0,1,topic_284,0.021688007
visibility,13,37,59,98,83,176,175,167,163,223,194,183,139,167,135,121,127,103,97,99,105,74,27,topic_377,0.23026864
polynomials,0,0,0,0,0,1,1,0,0,0,1,24,43,47,40,60,60,56,44,59,55,35,14,topic_902,0.0048646093
apache-httpclient-4.x,0,1,4,12,13,31,32,55,135,133,160,184,148,170,163,151,108,134,91,103,106,111,37,topic_822,0.18862955
core-animation,26,112,142,217,247,311,381,410,337,288,224,247,200,170,122,110,84,104,72,58,62,49,18,topic_373,0.047899444
cryptography,65,145,192,273,332,470,428,493,502,555,618,672,561,630,644,683,595,725,580,586,553,571,175,topic_554,0.3881001
facebox,3,1,12,42,27,40,41,18,14,12,11,4,1,5,2,5,1,0,0,1,0,0,0,topic_671,0.04202432
gps,17,40,112,171,298,469,551,693,641,739,683,743,625,595,600,554,505,405,336,253,234,264,69,topic_275,0.2505289
arcore,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,115,206,268,340,106,topic_234,0.061139774
gpu,10,7,27,54,56,115,139,228,317,284,313,266,211,241,251,295,319,402,364,405,467,475,170,topic_836,0.120231085
survival-analysis,0,0,0,0,1,0,1,3,6,28,22,30,32,49,59,46,44,63,42,64,58,82,30,topic_194,0.07396115
toast,0,1,3,12,37,67,88,97,123,142,105,104,87,98,79,82,82,84,67,78,67,73,22,topic_152,0.096178226
php-curl,0,0,0,0,0,1,0,0,0,2,0,0,0,16,32,31,44,42,69,107,107,150,48,topic_243,0.09811091
arel,0,0,0,12,42,67,51,52,55,57,35,29,35,41,32,24,20,18,14,14,21,8,7,topic_483,0.029804775
maven-dependency-plugin,0,0,3,0,3,14,12,19,19,21,23,19,19,20,20,30,29,17,12,19,18,10,13,topic_870,0.01012819
scatter-plot,1,1,6,9,4,14,22,47,75,95,115,105,110,118,126,143,143,167,140,144,190,166,57,topic_194,0.22504517
sql-server-express,26,52,90,98,97,131,130,102,93,103,88,50,54,61,43,77,60,61,37,45,37,34,14,topic_205,0.014469498
ko.observablearray,0,0,0,0,0,0,7,12,23,37,49,49,31,20,0,0,0,0,0,0,0,0,0,topic_765,0.02527485
minecraft,0,0,0,0,3,24,41,67,84,126,115,174,141,125,101,223,143,142,111,114,107,155,73,topic_588,0.024736337
http-redirect,0,3,4,8,11,11,12,27,67,79,83,78,56,62,54,50,51,60,49,61,68,52,23,topic_628,0.03347571
gql,3,15,24,25,24,37,39,31,30,27,24,25,13,12,19,13,10,10,9,11,3,14,3,topic_68,0.05068226
datasnap,2,2,9,13,7,17,28,53,44,18,15,28,34,42,26,39,23,16,10,13,12,14,2,topic_801,0.042928822
xsd,124,271,353,451,546,633,662,845,796,853,769,762,783,748,686,686,544,502,474,367,395,385,117,topic_509,0.30472615
string-formatting,10,37,58,77,106,158,229,184,202,253,268,223,199,213,201,192,189,179,176,164,178,137,41,topic_514,0.0998775
nsdate,3,16,56,100,157,296,296,334,326,388,400,353,292,325,374,386,279,138,97,58,45,35,9,topic_549,0.14101538
office365-restapi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,82,72,38,0,0,0,0,0,topic_831,0.0097771
argv,1,4,10,16,19,19,31,48,56,62,82,73,54,78,62,63,50,55,47,33,27,38,14,topic_944,0.12720609
bloodhound,0,0,0,0,0,0,0,0,0,0,0,39,34,38,40,30,20,22,16,7,6,11,3,topic_888,0.0068566925
hibernate-criteria,1,0,1,10,17,27,56,50,84,92,80,75,76,91,115,106,106,81,64,88,88,98,32,topic_696,0.049289715
symfony-2.3,0,0,0,0,0,0,0,0,1,41,313,140,69,62,28,38,4,27,26,23,5,4,0,topic_375,0.05922308
matlab-coder,0,0,0,0,1,0,1,2,1,11,21,29,36,30,29,21,7,9,10,8,9,12,2,topic_843,0.011705267
yii2-advanced-app,0,0,0,0,0,0,0,0,0,0,0,0,10,172,303,248,302,256,202,198,156,96,25,topic_78,0.06520295
symfony-2.1,0,0,0,0,0,0,1,10,500,375,61,17,16,20,11,5,4,19,21,12,19,4,1,topic_921,0.0116587235
nsdata,1,8,54,68,75,136,155,205,187,189,167,177,164,165,176,141,121,71,53,42,32,17,16,topic_758,0.007982072
lapack,0,2,5,11,9,34,24,46,34,38,53,60,56,60,58,49,58,49,50,31,32,26,6,topic_382,0.04920188
node-webkit,0,0,0,0,0,0,0,0,5,36,72,154,222,214,174,105,67,46,21,18,8,8,4,topic_398,0.052367713
xss,47,67,102,149,159,207,192,241,215,240,212,215,171,211,180,191,169,166,158,131,145,165,60,topic_848,0.14055659
hibernate-search,1,9,12,12,18,52,36,47,63,61,81,89,74,62,64,83,76,72,87,58,61,62,16,topic_617,0.0130626485
xml-rpc,29,31,53,77,77,118,120,124,132,114,99,84,75,62,54,62,67,43,47,40,31,55,16,topic_590,0.10314247
symfony-2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,74,44,133,109,76,46,42,10,topic_129,0.026549097
uiviewanimation,0,2,1,4,20,47,82,94,140,148,117,133,150,113,116,74,80,100,67,83,53,50,19,topic_743,0.006898186
jqgrid-formatter,0,0,0,0,0,0,21,37,27,25,12,13,21,16,18,12,9,8,9,11,5,5,1,topic_779,0.008675023
static-linking,4,8,18,30,41,71,75,83,85,97,84,87,91,90,83,96,74,66,57,41,69,59,21,topic_286,0.034840222
mobile,108,144,245,348,520,1016,1537,1929,1826,2020,1772,1758,1521,1501,1415,1379,1171,1096,907,856,915,916,317,topic_221,0.38547513
standard-library,3,11,9,24,21,39,35,23,43,46,44,41,36,38,41,37,25,24,27,19,16,20,9,topic_943,0.04009993
portrait,2,0,6,3,21,31,20,38,48,38,36,24,28,24,15,18,19,14,7,6,10,5,3,topic_524,0.028834011
android-appbarlayout,0,0,0,0,0,0,0,0,0,0,0,0,0,7,125,127,107,69,53,69,61,57,28,topic_948,0.063058995
prolog,11,27,105,129,212,380,353,539,458,752,581,744,610,728,671,713,635,684,532,576,476,571,93,topic_938,0.45413554
geojson,0,0,1,2,2,11,14,24,50,79,92,185,160,241,201,239,214,237,203,222,266,302,97,topic_797,0.17001258
elasticsearch-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,75,107,67,23,12,15,13,3,topic_307,0.025579114
args,1,3,1,3,5,7,24,11,19,32,48,45,61,51,41,34,42,38,35,48,36,50,10,topic_761,0.01931201
nsregularexpression,0,0,0,0,1,5,28,46,40,53,48,40,51,53,49,46,28,22,25,24,22,21,12,topic_476,0.024024617
xts,0,0,0,6,19,34,59,100,114,125,95,112,81,102,104,110,129,112,110,99,95,77,20,topic_551,0.063073434
rx-java2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54,484,674,733,684,555,167,topic_203,0.12177994
intentservice,0,0,0,0,1,5,38,55,72,89,89,78,82,98,81,93,71,68,54,33,40,27,5,topic_212,0.07183947
bitnami,0,0,3,3,4,6,12,20,52,39,43,42,43,67,65,70,95,85,82,87,73,80,21,topic_501,0.0158338
navigationview,0,0,0,0,0,0,0,0,0,0,0,0,0,46,110,62,35,35,28,35,34,29,18,topic_600,0.008862616
azure-worker-roles,0,0,2,3,17,35,41,86,62,83,67,69,69,91,61,45,37,24,16,13,8,8,0,topic_352,0.07768441
linked-server,8,28,33,35,51,55,37,48,53,65,71,47,60,73,58,70,63,70,77,57,55,61,24,topic_872,0.058864128
inject,1,1,7,11,5,26,29,43,42,52,47,65,47,62,52,61,60,57,42,34,37,38,8,topic_451,0.13649951
unsatisfiedlinkerror,0,1,0,0,1,0,9,29,32,46,47,46,42,35,24,26,20,26,19,7,12,15,4,topic_472,0.043960474
gsm,2,9,13,26,30,44,61,72,65,115,80,93,64,81,67,84,69,80,56,49,69,65,25,topic_43,0.049430087
normalizr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,25,40,30,22,35,20,6,topic_364,0.009821243
gsl,0,0,2,12,11,16,27,26,30,48,38,52,42,46,39,48,37,22,36,22,25,25,6,topic_723,0.046765093
gsp,2,17,21,40,20,53,71,75,79,94,117,134,123,121,74,58,41,52,26,30,22,19,2,topic_810,0.089986704
hashset,2,15,28,31,39,53,60,73,85,129,139,141,115,130,107,117,95,97,91,98,89,73,24,topic_340,0.03648279
channel,0,3,14,18,18,19,27,44,51,55,72,72,81,69,76,92,75,100,88,94,121,90,32,topic_520,0.07074756
focus,35,102,168,225,259,371,403,428,455,475,446,361,308,309,294,257,241,260,207,212,184,170,71,topic_249,0.18192957
angular2-routing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,687,1206,1172,707,380,191,141,44,topic_374,0.022884414
zxing,0,0,1,9,16,68,113,214,180,183,148,169,139,150,118,146,122,132,95,72,89,94,34,topic_420,0.14788231
network-programming,48,122,173,283,351,519,486,642,616,727,533,544,457,768,746,495,474,441,374,343,306,308,94,topic_716,0.030306945
contact-form-7,1,0,0,2,1,1,5,4,24,23,42,44,55,74,59,77,101,140,140,152,139,184,50,topic_965,0.044237055
xul,31,48,58,83,142,181,136,113,94,81,96,91,56,37,24,24,16,9,5,3,3,2,1,topic_686,0.046543393
named-query,1,2,7,12,13,19,20,25,32,33,38,33,49,27,27,21,30,11,21,14,16,17,7,topic_382,0.02942097
temporary-files,10,24,31,27,38,41,34,41,33,49,40,46,51,31,44,49,27,38,35,35,38,26,17,topic_38,0.02367004
mule,0,4,7,11,17,29,86,138,203,438,526,649,550,742,578,610,444,497,307,220,234,261,70,topic_749,0.20549773
ruby-on-rails-plugins,0,28,80,139,144,110,93,57,20,5,7,9,3,7,4,4,3,0,3,0,2,0,1,topic_68,0.08698831
xslt-1.0,10,18,5,19,30,124,101,227,362,387,415,419,299,301,244,302,319,352,241,193,190,259,76,topic_318,0.49654612
image-recognition,2,8,14,15,26,58,35,40,50,56,47,43,30,54,43,62,71,82,81,84,99,81,36,topic_228,0.114356235
android-bluetooth,0,0,0,0,0,4,5,3,1,10,120,172,144,189,148,158,121,91,100,90,109,123,37,topic_622,0.03663004
x509certificate2,0,9,8,5,4,15,15,29,21,27,25,27,19,37,41,36,41,50,51,45,57,41,21,topic_725,0.07062179
audiounit,0,0,0,3,21,42,42,45,80,56,45,37,35,46,36,50,18,32,24,13,16,11,13,topic_409,0.026678523
gtk,33,87,182,326,371,385,396,473,449,523,357,471,367,396,324,343,270,264,264,264,221,248,93,topic_258,0.20029895
removing-whitespace,1,0,0,3,10,23,26,17,29,30,36,44,36,34,31,34,42,35,28,33,39,27,13,topic_220,0.10542
