Tag,H2.2008,H1.2009,H2.2009,H1.2010,H2.2010,H1.2011,H2.2011,H1.2012,H2.2012,H1.2013,H2.2013,H1.2014,H2.2014,H1.2015,H2.2015,H1.2016,H2.2016,H1.2017,H2.2017,H1.2018,H2.2018,H1.2019,H2.2019,TopicNumber,Propensity
findstr,0,4,2,5,2,8,7,19,27,35,49,49,48,39,36,24,37,44,30,33,24,30,10,topic_238,0.05113845
spring-amqp,0,0,0,0,0,0,4,7,12,13,28,56,78,125,97,108,122,102,103,118,88,110,35,topic_230,0.5990025
celerybeat,0,0,0,0,0,1,1,10,11,14,10,15,14,28,22,16,22,29,26,26,38,49,13,topic_320,0.021452457
powershell-3.0,0,0,0,0,0,0,7,11,82,191,257,257,264,232,219,237,190,177,130,205,158,146,27,topic_1452,0.55006915
wsh,23,36,25,46,39,32,58,66,65,76,49,72,54,60,66,53,48,45,36,20,17,21,7,topic_1092,0.096555024
authorization,31,92,127,182,187,266,288,334,339,364,378,376,342,384,406,442,410,419,413,397,441,538,176,topic_1345,1.0
outputstream,1,4,16,19,21,54,53,89,97,97,81,92,85,92,88,78,67,46,61,54,58,45,14,topic_56,0.1710509
wss,39,89,126,74,42,37,22,13,8,8,8,12,14,7,16,12,16,11,18,11,14,16,5,topic_583,0.03075148
https,74,146,232,313,416,616,706,889,883,915,1031,1058,1031,1120,1188,1377,1264,1360,1195,1217,1287,1186,427,topic_105,0.29331842
portal,11,27,28,30,26,38,46,51,49,52,50,37,35,39,29,17,25,16,20,17,19,20,9,topic_884,0.14436027
gawk,5,7,9,8,19,19,20,40,28,58,63,83,56,97,73,103,103,81,79,56,0,0,0,topic_874,0.030480942
java.util.scanner,2,9,27,47,44,76,95,164,195,229,348,391,388,519,398,374,299,345,288,238,290,256,67,topic_1298,0.1523159
apache-zookeeper,1,0,3,5,9,19,22,40,61,86,147,139,152,233,236,252,254,264,222,201,235,202,87,topic_301,0.16923623
il,4,6,10,12,13,44,37,49,53,36,48,39,34,44,38,14,0,0,0,0,0,0,0,topic_1059,0.03437816
skspritenode,0,0,0,0,0,0,0,0,0,0,40,106,126,183,181,153,150,120,86,59,60,35,9,topic_618,0.032979827
io,73,122,155,189,252,584,660,838,963,1000,1063,1064,950,1077,894,947,822,758,683,561,571,531,166,topic_938,0.64883435
fuelphp,0,0,0,0,0,10,22,48,88,39,74,49,41,36,26,29,13,13,12,6,4,4,1,topic_475,0.06413481
ibm-cloud,0,0,0,0,0,0,0,0,0,0,0,1,62,390,930,1124,858,687,483,394,389,355,93,topic_1241,0.13816673
ip,19,25,52,60,100,328,303,449,472,524,565,553,459,524,475,442,404,385,361,347,331,353,114,topic_1323,0.19354512
symfony-forms,0,0,0,18,32,66,61,117,157,159,120,119,111,154,132,221,173,174,132,117,109,95,23,topic_766,0.46180275
circular-dependency,8,8,21,24,40,39,50,56,54,57,77,84,57,62,64,57,65,65,56,57,71,64,26,topic_562,0.1570091
getelementsbyclassname,0,0,1,0,8,4,7,14,16,30,32,38,32,36,36,34,24,40,23,41,25,23,7,topic_905,0.047502548
scientific-computing,6,10,18,23,26,33,17,25,29,33,36,33,23,36,20,29,25,36,23,30,38,20,9,topic_1469,0.037070584
code-analysis,46,45,46,92,78,106,93,116,100,111,97,97,65,70,82,80,63,74,62,55,42,39,9,topic_295,0.6415895
azureservicebus,1,0,0,0,1,0,3,12,39,92,64,83,75,118,100,121,159,183,170,235,220,209,75,topic_169,0.17835964
jq,0,0,0,0,0,0,0,0,0,1,11,14,40,83,131,128,196,262,282,375,415,369,172,topic_1291,0.24492624
simple-framework,0,2,0,1,4,24,17,32,33,55,60,35,36,43,34,34,30,18,14,15,9,15,1,topic_278,0.119829826
rethinkdb,0,0,0,0,0,1,0,0,1,9,33,69,72,160,235,202,215,101,83,71,67,45,8,topic_714,0.14865158
spline,3,9,10,5,13,16,23,22,37,36,40,37,43,39,62,52,43,45,39,46,55,62,25,topic_1381,0.13400602
subscription,2,9,15,11,22,41,50,48,80,69,67,72,57,68,50,67,69,87,95,98,133,134,58,topic_1159,0.09485978
seaborn,0,0,0,0,0,0,0,0,0,0,2,23,64,108,214,268,253,329,353,397,593,702,272,topic_1120,0.45949075
str-replace,1,1,7,30,39,80,99,114,143,147,184,176,142,143,144,138,99,108,99,99,82,90,18,topic_384,0.08839285
jenkins,1,4,9,12,17,245,466,739,996,1269,1374,1582,1631,2015,2187,2682,2812,3551,3386,3210,3660,3656,1228,topic_1422,0.4407522
xna-4.0,0,0,0,2,39,85,147,178,174,192,121,99,56,36,29,15,9,5,4,2,6,7,1,topic_1323,0.030450422
http2,0,0,0,0,0,0,0,0,0,1,3,0,4,64,86,141,133,138,124,128,150,143,42,topic_1091,0.02448355
actionlink,6,23,25,34,39,31,28,38,38,48,37,52,30,37,14,27,22,15,9,9,12,5,5,topic_608,0.015336529
ftp,96,147,241,319,367,521,524,652,775,801,876,944,790,870,827,774,614,681,570,461,417,454,138,topic_883,0.73309
weblogic,20,62,104,141,163,218,243,291,302,355,402,384,395,318,307,321,262,272,232,212,264,225,78,topic_405,0.3413677
textfield,1,22,41,71,74,117,170,155,185,216,201,221,174,181,150,153,149,152,124,142,131,196,57,topic_1473,0.30514523
cfml,7,6,3,16,6,3,11,8,20,114,70,41,39,37,40,43,26,28,38,22,33,42,23,topic_901,0.11059832
struts-1,1,2,1,27,30,49,57,84,72,134,109,93,89,66,70,63,67,49,39,22,24,24,8,topic_83,0.0914824
anonymous-function,6,6,33,45,64,80,95,106,105,131,138,111,92,111,103,110,89,92,83,57,80,57,15,topic_260,0.07285651
indy10,0,0,1,6,24,19,21,41,61,66,57,35,38,40,36,32,35,29,24,28,32,31,6,topic_961,0.13321167
webhooks,0,1,1,4,8,8,7,10,38,27,39,64,61,111,131,188,184,260,274,282,336,320,132,topic_448,0.44848156
equals,19,34,61,78,85,115,151,141,169,178,204,215,187,150,150,137,115,120,92,81,104,73,27,topic_7,0.4613664
ld,7,8,15,24,32,69,85,110,126,138,138,135,126,114,129,116,133,121,101,95,98,117,36,topic_615,0.037261263
custom-cell,0,1,1,1,3,20,27,28,37,46,65,47,43,108,82,64,34,32,31,18,16,10,3,topic_773,0.016750183
onedrive,1,1,3,1,4,2,5,40,62,69,68,112,167,155,129,197,162,195,148,152,160,167,64,topic_419,0.11470752
facebook-oauth,0,0,0,0,1,13,91,111,90,92,73,74,44,34,39,29,19,19,14,20,15,13,3,topic_1038,0.045914803
oracle-apex-5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,32,30,79,114,95,102,47,44,15,topic_927,0.015589396
saml-2.0,0,0,0,0,0,5,30,42,57,76,104,137,136,169,142,162,196,171,168,155,170,211,69,topic_577,0.3485787
authlogic,0,11,70,138,140,100,58,50,35,27,14,11,12,11,6,5,4,7,2,5,4,0,0,topic_767,0.08091358
macos-carbon,9,19,45,67,51,45,59,70,28,26,16,13,22,11,8,14,11,6,3,3,11,8,1,topic_1340,0.09516271
lm,0,0,2,1,4,1,19,26,28,50,47,72,65,79,84,80,119,94,93,81,97,133,28,topic_1455,0.06725803
bitbake,0,0,0,0,1,0,0,0,2,9,18,11,13,30,34,90,44,64,100,87,90,84,40,topic_1456,0.035129268
ls,4,9,5,9,4,29,34,46,57,69,60,83,60,87,76,78,52,51,59,43,58,59,13,topic_312,0.00830724
paypal-ipn,0,5,10,32,36,85,117,129,169,269,284,217,152,206,177,209,122,111,90,62,66,42,28,topic_1238,0.10871645
entity-framework,149,573,863,1308,1718,2994,3198,4073,4739,5409,5486,5999,5073,5336,5387,5256,4909,4523,3903,3220,2838,2877,868,topic_1118,0.8855503
subroutine,0,7,10,20,28,25,34,49,62,69,68,82,74,62,58,69,66,51,43,51,40,34,15,topic_900,0.04406706
nslayoutconstraint,0,0,0,0,0,0,0,2,36,88,107,104,175,220,205,172,170,142,140,121,118,103,24,topic_881,0.081909224
swagger,0,0,0,0,0,0,0,3,15,53,57,100,166,308,402,546,615,644,651,769,880,973,372,topic_292,0.26168784
feedparser,2,0,8,25,20,32,12,22,9,17,9,17,15,23,9,13,11,8,14,16,11,15,6,topic_1449,0.046974763
windows-xp,131,173,207,255,310,368,308,310,260,250,208,178,104,93,68,41,38,30,37,34,25,20,6,topic_1383,0.22967304
gluon-mobile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,67,87,65,48,42,56,17,topic_186,0.10721393
eclipse-juno,0,0,0,0,0,0,1,12,227,179,84,44,33,26,10,6,8,2,4,3,3,0,1,topic_305,0.0491374
opencart,0,0,3,2,5,20,79,160,295,346,367,480,377,388,401,388,304,362,330,213,178,197,54,topic_483,0.85462403
limit,10,40,77,86,103,176,179,231,240,310,251,245,210,206,185,176,150,138,137,120,140,132,42,topic_546,0.54557925
colormap,0,0,0,0,0,1,0,0,0,0,1,11,39,33,29,49,57,57,63,38,54,51,26,topic_355,0.010347801
communication,38,53,83,83,115,145,122,133,120,144,125,117,97,127,105,108,93,77,55,62,69,79,29,topic_1048,0.57045394
jquery-ui-accordion,0,2,4,23,37,70,79,88,94,118,86,88,77,63,58,28,19,18,6,8,6,9,2,topic_1483,0.07188005
code-formatting,20,40,53,75,58,62,60,71,64,81,59,70,57,60,65,53,67,69,45,56,55,67,24,topic_388,0.24139814
ml,3,2,6,8,14,28,18,26,30,63,54,50,34,32,29,26,37,43,18,34,16,15,1,topic_565,0.07744511
tcplistener,3,7,19,13,25,22,35,42,43,47,48,51,38,42,34,34,35,43,29,41,48,42,8,topic_529,0.07474382
django-oscar,0,0,0,0,0,0,0,0,0,3,12,8,18,24,37,25,19,28,28,25,29,46,21,topic_1120,0.040895063
pfquery,0,0,0,0,0,0,0,0,0,1,28,52,74,128,141,38,19,9,8,9,3,4,2,topic_1424,0.06139613
alfresco,5,2,10,29,27,57,122,145,176,225,174,279,201,217,194,274,277,255,131,144,105,77,33,topic_266,0.025561228
jspinner,2,3,0,7,8,6,16,30,24,35,16,35,33,30,22,11,18,15,3,6,7,3,4,topic_779,0.043369364
page-refresh,0,0,1,2,14,26,38,57,63,66,63,58,52,57,51,49,39,63,36,55,46,46,16,topic_378,0.1286558
windows-services,121,274,347,385,447,597,526,542,549,499,409,373,353,321,337,331,255,244,228,265,258,245,86,topic_326,0.8819567
phpmailer,2,6,17,33,41,69,68,112,130,185,213,272,251,297,338,389,357,379,297,331,286,305,84,topic_1295,0.65122736
multidimensional-array,21,77,171,321,508,815,907,1224,1449,1711,1668,1914,1659,1807,1945,2021,1687,1827,1557,1334,1280,1286,330,topic_553,0.9374766
disk,16,18,30,31,40,49,35,41,46,48,63,54,57,51,65,52,55,54,35,46,59,57,15,topic_125,0.26217616
na,0,0,2,0,1,3,14,24,37,66,74,105,117,119,112,137,116,132,135,178,155,175,53,topic_795,0.3678016
prediction,2,5,2,6,10,12,20,25,27,66,59,92,75,90,94,121,132,153,137,155,176,214,74,topic_1455,0.097799234
pgadmin,2,0,1,3,6,18,21,25,42,43,54,56,49,60,66,74,87,96,88,80,77,81,26,topic_906,0.0875
git-rebase,1,7,10,21,21,41,37,71,81,76,81,69,76,75,132,91,72,50,55,59,55,58,24,topic_37,0.09986505
border-layout,0,0,0,2,2,5,12,24,26,44,39,23,38,42,32,26,16,14,10,8,15,3,1,topic_451,0.10131685
observablecollection,6,32,58,79,97,133,159,192,141,204,175,189,150,133,114,137,97,102,85,84,84,74,18,topic_5,0.167569
removeclass,0,0,3,7,6,27,33,46,70,71,83,67,44,50,42,40,38,11,0,0,0,0,0,topic_431,0.100237526
osx-elcapitan,0,0,0,0,0,0,0,0,0,0,0,0,7,13,478,380,183,77,33,20,10,7,5,topic_1042,0.13769521
shinydashboard,0,0,0,0,0,0,0,0,0,0,0,0,0,2,92,114,142,120,179,207,211,279,104,topic_1012,0.08209294
storage,28,56,79,112,143,205,228,237,282,293,300,281,237,255,235,286,263,286,238,262,298,293,88,topic_467,0.2789916
seam,18,52,110,161,184,169,155,143,107,82,63,26,24,24,18,16,6,7,5,4,3,3,2,topic_943,0.14254658
dialog,32,83,202,282,319,637,720,845,796,822,816,722,626,589,516,536,420,395,371,308,328,324,89,topic_920,0.84328765
layoutparams,0,0,0,0,0,16,22,33,23,27,40,45,44,33,30,28,23,20,13,10,8,9,4,topic_1049,0.010006387
github-pages,0,0,0,0,0,5,6,21,37,55,93,101,126,142,149,184,241,259,227,235,264,273,100,topic_1399,0.09293983
heap,21,75,85,147,153,204,223,301,300,341,328,281,251,287,231,252,223,223,197,222,187,176,33,topic_943,0.49026915
c3p0,0,9,15,27,22,35,47,50,72,86,103,72,82,81,52,69,49,55,33,41,41,37,14,topic_785,0.046445053
docker-image,0,0,0,0,0,0,0,0,0,0,2,1,0,1,7,31,41,37,49,69,73,83,25,topic_149,0.101123594
cancancan,0,0,0,0,0,0,0,0,0,0,0,0,27,42,54,57,42,39,38,26,33,22,6,topic_1026,0.059971668
simulator,4,10,22,33,49,69,72,76,108,80,75,61,93,94,77,74,66,57,64,66,61,49,18,topic_1181,0.1724441
bigdecimal,4,13,17,30,22,56,64,90,67,87,80,101,95,103,119,70,73,79,61,52,59,58,14,topic_1339,0.28499192
databricks,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,48,58,71,112,299,381,155,topic_1087,0.013697397
ng-repeat,0,0,0,0,0,0,0,0,1,59,93,138,219,327,390,399,313,93,0,0,0,0,0,topic_173,0.3855078
compareto,2,4,3,10,11,13,22,28,41,49,54,57,51,42,33,49,30,25,30,35,19,21,5,topic_1380,0.006930595
semantic-markup,10,8,26,57,37,42,61,42,60,67,60,81,44,44,41,36,36,36,29,37,33,21,9,topic_482,0.029154146
google-oauth,1,0,1,1,1,2,1,7,37,281,404,472,550,479,360,253,282,380,300,307,369,392,112,topic_87,0.22705336
mouseleave,1,1,3,15,16,20,28,52,36,64,51,26,28,22,20,17,17,13,15,10,14,11,1,topic_353,0.05244601
sprockets,0,0,1,1,1,27,86,72,64,54,49,55,56,46,44,50,29,27,18,16,17,14,2,topic_1195,0.06466018
pg,0,0,0,1,1,10,9,30,43,62,82,37,35,40,35,42,32,33,27,39,41,38,14,topic_656,0.10340963
geolocation,24,46,110,231,283,514,571,641,636,706,620,690,524,641,605,601,501,533,450,431,478,476,172,topic_527,0.5026864
subversive,5,10,12,20,17,33,44,31,29,28,21,26,17,16,12,9,14,6,7,6,10,1,0,topic_234,0.05156512
mapbox-gl-js,0,0,0,0,0,0,0,0,0,0,0,0,1,9,13,78,105,154,151,176,173,222,66,topic_377,0.26372865
qa,34,34,25,32,35,24,37,35,45,52,37,39,38,39,61,58,59,71,55,59,85,91,34,topic_211,0.07027876
iterator,63,157,163,272,323,403,426,556,587,659,667,782,574,689,678,700,602,555,515,560,499,516,163,topic_662,0.6782311
google-analytics,23,44,108,170,283,385,448,586,729,780,1074,1332,1156,1354,1333,1259,1055,1197,978,873,977,822,288,topic_1300,0.7457415
freeze,4,13,17,31,47,60,71,72,86,86,101,98,99,111,87,82,69,77,63,76,67,54,17,topic_1336,0.21527073
fileapi,0,0,0,1,8,17,46,34,35,44,52,47,43,20,31,31,20,15,7,10,4,12,2,topic_1359,0.1206721
return-value,24,55,86,104,143,171,135,143,184,287,282,264,240,198,203,175,150,148,129,132,174,167,49,topic_424,0.14711472
zend-db-table,2,14,35,29,47,35,68,55,37,31,33,12,14,6,8,7,5,1,1,0,0,0,0,topic_623,0.124570444
noclassdeffounderror,2,3,20,25,25,69,69,149,143,213,185,132,118,117,123,108,77,82,53,74,64,66,20,topic_234,0.26998323
facebook-javascript-sdk,0,0,1,0,13,92,363,517,561,499,461,369,297,283,239,255,219,210,192,150,159,142,31,topic_1401,0.5133733
spritebuilder,0,0,0,0,0,0,0,0,0,0,0,88,89,51,29,12,1,1,0,0,2,0,0,topic_168,0.06362773
plyr,0,0,4,10,20,40,84,130,127,159,202,190,174,196,128,130,112,94,118,96,81,68,18,topic_152,0.24851531
s4,0,0,4,3,7,7,17,20,36,31,40,34,20,46,29,39,32,30,14,28,22,23,9,topic_780,0.011811885
masstransit,1,2,4,2,5,2,8,24,22,23,42,37,19,37,44,59,75,64,83,74,82,123,32,topic_1070,0.07391155
drawable,0,1,8,25,93,168,234,260,249,196,188,189,164,163,140,131,114,97,85,77,80,67,21,topic_760,0.17737141
qt,115,320,851,1408,1692,2340,2669,3443,3603,4433,5060,5101,4596,4573,4486,4805,4199,4291,3737,3362,2916,2990,966,topic_497,0.9705664
facebook-c#-sdk,0,0,1,1,42,460,307,329,168,146,81,65,42,52,26,24,15,10,8,10,5,4,0,topic_991,0.059357703
xml-deserialization,1,1,3,31,33,62,42,60,56,52,57,65,49,52,51,41,42,38,23,36,29,37,9,topic_1477,0.26738796
gsap,0,0,0,0,0,0,0,0,0,0,0,0,23,44,75,52,43,46,54,51,66,72,23,topic_1299,0.07453076
segmentation-fault,9,49,81,157,179,292,379,476,548,657,687,702,634,707,657,607,546,498,495,466,416,384,93,topic_75,0.043171797
jtextfield,6,3,19,28,38,79,83,163,204,313,292,285,199,211,162,133,96,105,85,80,55,64,11,topic_116,0.2385313
friendly-url,25,51,56,60,28,49,40,57,55,70,56,49,40,37,88,45,53,22,15,15,20,18,4,topic_163,0.101325355
fancybox,0,13,38,83,173,252,396,714,686,668,504,365,323,203,158,115,100,116,105,88,48,61,19,topic_744,0.65157187
amp-html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,135,210,204,203,295,336,287,88,topic_63,0.10918417
ms-office,90,124,147,162,205,238,216,243,232,306,280,280,244,203,244,425,352,299,266,220,221,181,83,topic_1458,0.22573441
user-input,30,44,49,88,87,129,110,134,181,207,185,240,202,234,236,266,186,211,198,219,208,204,61,topic_508,0.3907173
listadapter,0,0,1,16,41,53,72,64,83,93,82,89,58,74,56,48,42,26,9,21,18,25,10,topic_490,0.13450937
android-tabs,0,0,0,2,3,2,3,39,91,137,135,148,129,115,119,89,53,43,36,28,26,12,7,topic_560,0.0836035
memory-management,148,439,657,955,1168,1679,1569,1719,1547,1636,1598,1511,1151,1074,1094,999,932,918,767,695,627,639,169,topic_59,0.8222307
t4,15,42,56,73,87,119,104,111,117,118,96,87,61,76,58,60,47,41,42,29,36,28,7,topic_223,0.08520637
geofire,0,0,0,0,0,0,0,0,0,0,0,2,6,8,12,47,73,58,60,82,58,61,20,topic_743,0.0019744064
servlet-3.0,0,0,0,1,3,13,23,57,69,90,84,75,57,52,67,65,31,47,43,37,36,32,13,topic_532,0.010014853
akka-http,0,0,0,0,0,0,0,0,0,0,0,0,1,20,66,138,157,201,168,128,130,109,35,topic_862,0.23510137
gmail-imap,0,0,0,2,16,18,40,42,33,46,46,41,35,34,27,28,22,14,28,12,24,21,1,topic_673,0.06387638
bulkinsert,10,26,38,54,46,73,80,92,102,122,124,107,120,120,114,107,108,124,100,91,94,98,34,topic_909,0.2459913
credit-card,11,10,43,50,39,69,62,53,86,56,66,57,54,58,56,44,54,57,31,23,32,23,12,topic_960,0.06856353
ajax4jsf,0,5,12,28,34,47,43,39,55,59,43,49,24,14,16,14,12,6,3,3,2,4,0,topic_484,0.03706682
enums,121,238,338,377,423,573,615,631,750,849,975,1131,1164,1129,1232,1151,1009,967,943,798,702,769,242,topic_1227,1.0
sf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,43,94,105,96,51,topic_265,0.012941176
sh,4,17,18,41,31,93,128,181,213,245,305,455,328,356,413,467,384,431,355,463,421,422,160,topic_312,0.047335293
datatemplate,12,72,116,126,126,156,152,152,177,145,159,139,107,101,82,94,75,77,51,61,48,40,19,topic_787,0.11583757
myisam,9,14,38,32,60,82,75,75,66,77,65,66,35,34,42,33,26,30,29,20,20,20,4,topic_965,0.28775448
sp,0,0,0,0,0,0,0,0,0,0,0,0,16,55,47,46,35,49,38,53,62,57,15,topic_265,0.014880763
email,268,551,820,1088,1367,1926,1888,2176,2367,2499,3282,3814,3298,3523,3534,3517,3009,3086,2760,1870,1822,1730,585,topic_638,0.85071623
rollback,10,15,25,40,43,64,51,46,74,83,83,73,74,81,65,78,63,51,55,57,55,50,17,topic_291,0.20455663
calendar,56,100,174,237,260,442,480,580,690,713,723,840,733,780,757,751,662,640,546,395,466,451,130,topic_467,0.649916
unions,6,11,23,31,43,54,49,48,71,70,78,92,66,75,64,85,70,76,62,67,64,53,10,topic_424,0.051073637
intern,0,0,0,0,0,0,0,0,0,26,39,50,83,70,88,46,32,36,29,18,7,17,3,topic_165,0.09521286
tableau-online,0,0,0,0,0,0,0,0,0,0,0,0,4,8,14,22,17,25,21,23,18,41,11,topic_372,0.027230432
droppable,2,3,22,24,29,46,35,47,50,47,45,38,42,26,24,24,15,18,12,4,7,6,2,topic_1214,0.045631383
tk,5,12,25,27,23,61,78,73,80,107,140,118,121,129,107,178,98,111,129,105,72,91,19,topic_945,0.12384545
tm,0,0,0,0,0,0,4,5,13,42,52,71,57,94,96,110,71,97,100,67,53,48,12,topic_999,0.19410029
swift4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,5,103,1372,1947,1282,611,157,topic_612,0.5423762
swift3,0,0,0,0,0,0,1,1,0,1,0,2,4,9,17,194,5707,7300,3725,832,341,136,37,topic_886,0.73884785
azure-webjobs,0,0,0,0,0,1,0,1,0,0,2,68,118,152,182,215,175,201,200,149,142,143,34,topic_842,0.32629842
tr,0,0,0,0,0,3,14,14,29,26,39,56,37,43,29,32,33,40,30,31,35,25,5,topic_905,0.05259939
rails-api,0,0,0,0,0,0,0,2,9,18,26,32,41,47,71,69,65,53,40,47,56,55,17,topic_982,0.13762842
v8,6,3,11,16,38,59,77,113,125,139,102,137,109,143,152,136,138,140,109,123,121,140,56,topic_511,1.0
swift2,0,0,0,0,0,0,0,0,0,0,0,1,5,199,3825,2711,1408,264,50,16,15,10,2,topic_1203,0.58434147
loader,3,18,31,47,54,88,52,67,68,91,73,83,86,84,77,92,98,98,84,73,83,45,36,topic_891,0.0055082897
typo3-6.2.x,0,0,0,0,0,1,0,0,0,0,1,19,120,177,101,77,105,64,43,38,13,10,2,topic_1280,0.054675233
yii2-basic-app,0,0,0,0,0,0,0,0,0,0,0,0,1,9,123,137,83,89,88,78,52,42,15,topic_740,0.06517162
factory-pattern,1,8,19,42,55,82,62,78,93,71,72,86,68,61,72,60,61,46,55,55,56,46,17,topic_875,0.64766306
git-subtree,1,0,2,0,1,5,5,13,21,28,48,52,31,34,27,32,24,24,24,19,21,21,6,topic_1066,0.03431644
tokenize,13,29,39,49,58,87,84,95,111,116,107,146,101,154,128,123,120,115,111,95,104,140,42,topic_308,0.4871564
google-sheets-api,0,1,1,3,1,1,0,1,12,3,4,8,3,4,7,54,228,305,285,303,355,385,176,topic_1279,0.7597865
android-widget,0,2,26,179,338,503,801,908,801,619,219,221,123,137,119,97,77,59,53,73,71,54,14,topic_737,0.079699725
yahoo,9,6,17,32,38,103,92,92,79,71,66,67,47,44,41,41,34,49,25,14,15,25,4,topic_187,0.23969503
uitapgesturerecognizer,0,0,1,0,6,1,12,60,66,70,82,61,60,52,84,96,104,89,59,70,47,51,10,topic_942,0.12990463
sails.js,0,0,0,0,1,0,1,0,0,21,261,746,776,1025,930,611,406,372,291,301,277,184,81,topic_1207,0.20726876
local-variables,0,2,6,12,16,38,28,49,53,59,57,55,43,61,50,71,48,45,56,67,48,40,16,topic_6,0.15638353
this,8,34,60,85,126,190,204,271,272,332,321,368,279,290,318,300,296,292,264,265,247,220,90,topic_768,0.6522901
single-sign-on,33,51,60,85,121,175,184,241,266,261,285,300,269,359,316,343,319,354,330,290,356,442,143,topic_169,0.50889516
thin,1,3,8,14,21,41,64,95,88,81,47,51,43,35,27,18,11,4,7,6,2,10,2,topic_898,0.10014859
spring-data-redis,0,0,0,0,0,0,0,0,0,4,3,5,14,22,22,40,33,44,61,62,119,100,33,topic_1200,0.010176676
amcharts,0,0,1,4,1,5,7,16,26,22,37,71,93,122,180,137,187,192,190,149,232,319,66,topic_1446,0.15287194
vi,36,39,49,43,56,91,92,129,114,117,120,133,104,95,102,90,100,88,73,57,57,41,12,topic_1245,0.059751604
android-sqlite,0,2,2,1,11,11,18,16,343,593,551,592,465,461,389,497,521,581,554,463,376,364,141,topic_599,0.734899
haar-classifier,0,0,0,0,0,0,0,0,0,0,5,40,40,37,34,34,19,26,25,35,22,25,9,topic_6,0.05913519
preview,4,15,21,35,42,62,82,78,64,103,79,103,84,85,50,67,68,68,37,47,52,69,32,topic_1374,0.14617144
tablecelleditor,1,2,6,2,6,6,22,29,32,36,38,32,32,15,16,16,12,10,8,5,6,1,0,topic_1380,0.0036140464
gac,38,56,69,80,60,92,68,72,59,60,51,41,38,39,35,29,20,26,21,16,14,17,7,topic_639,0.09669334
httpurlconnection,1,8,18,32,32,71,86,136,144,178,179,193,179,197,286,307,208,192,160,126,120,102,34,topic_1465,0.037232053
newrelic,0,0,1,1,0,3,18,33,35,100,141,148,104,85,71,58,45,50,45,31,52,51,30,topic_1180,0.20462601
similarity,2,12,19,37,41,48,42,74,56,71,62,66,78,68,68,72,53,94,84,103,100,95,34,topic_1012,0.07805931
gas,4,6,7,18,13,14,31,29,30,42,29,25,35,40,47,51,48,33,42,33,57,47,14,topic_245,0.034626387
content-type,20,43,76,87,95,113,114,139,102,108,126,122,117,115,93,100,94,79,70,53,70,69,33,topic_485,0.614385
c++98,0,0,2,1,0,1,1,4,17,30,39,23,38,37,26,49,26,41,37,31,28,49,5,topic_1387,0.045827765
metaclass,6,9,15,29,22,37,34,42,53,44,40,50,46,50,28,45,40,47,56,66,42,36,20,topic_355,0.017492712
aurelia-binding,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,85,126,75,50,36,34,15,3,topic_1119,1.0
datetimepicker,4,14,32,31,27,60,68,104,108,149,152,165,156,202,213,197,184,179,180,148,134,156,48,topic_1108,0.27782342
directive,1,7,6,2,8,13,5,5,24,84,133,135,181,190,247,196,161,139,93,75,66,43,23,topic_867,0.2455435
menubar,2,10,12,28,26,58,46,54,60,86,74,86,60,65,38,29,21,42,22,12,26,20,3,topic_128,0.06553816
appkit,0,3,7,33,36,37,26,58,53,34,24,41,58,61,46,42,44,49,54,57,52,77,30,topic_890,0.043258797
nutch,3,11,13,12,47,37,54,108,77,104,124,88,115,95,76,111,102,80,58,53,54,58,12,topic_972,1.0
apache-tika,0,0,1,4,8,29,46,36,38,60,66,54,44,68,74,67,61,89,50,64,65,60,20,topic_1083,0.030646993
z3,0,0,0,0,0,2,59,122,184,236,139,158,110,128,134,139,116,84,95,124,94,132,55,topic_177,0.13541667
fpdf,3,4,15,20,37,54,47,74,106,104,117,124,105,104,102,131,116,122,114,128,95,123,26,topic_52,0.24360314
tableau-server,0,0,0,0,0,0,0,0,0,0,1,0,18,24,37,42,42,39,50,61,62,73,18,topic_372,0.06321839
keytool,1,6,3,18,22,48,33,53,62,73,56,76,50,60,60,65,51,69,64,60,63,54,18,topic_455,0.027019447
gcc,147,269,503,792,875,1200,1383,1726,1688,1850,2132,2203,1937,2082,1938,1954,1799,1745,1608,1328,1327,1343,400,topic_1127,0.69351125
windows-phone-8.1,0,0,0,0,0,0,1,0,1,2,2,640,1998,2290,1576,819,259,100,41,10,3,3,0,topic_832,0.3536992
dart-html,0,0,0,0,0,0,0,10,3,15,29,62,60,32,17,18,10,7,26,10,32,21,6,topic_1049,0.008350484
scanf,9,8,39,67,75,127,142,162,249,324,423,427,367,434,406,406,318,341,284,293,299,212,49,topic_531,0.16418898
pdf.js,0,0,0,0,0,0,0,6,13,46,33,47,49,49,62,38,36,49,51,28,36,62,24,topic_566,0.059152525
jstree,0,0,0,28,63,93,119,154,127,124,125,133,115,122,132,137,98,77,77,61,63,73,19,topic_349,0.07278541
