topic_0
okhttp: 0.13566826283931732; 
 ejs: 1.3325320402657326e-08; 
 nodemailer: 5.620620635582441e-10; 
 sequelize.js: 3.790671943004753e-10; 
 supertest: 6.793986900843763e-11; 
 babel-polyfill: 1.2573909795310367e-11; 
 swig-template: 2.7120230432046977e-13; 
 nodemon: 1.8437992289638966e-13; 
 angular-fullstack: 1.737070502629695e-13; 
 passport-facebook: 5.4270007406173257e-14; 
 topic_414
linq-to-entities: 0.8258836269378662; 
 facebook-messenger-bot: 0.09146393090486526; 
 autocompletebox: 0.019605927169322968; 
 windowsformshost: 0.01922149769961834; 
 datatemplateselector: 0.01576162315905094; 
 inotifycollectionchanged: 0.014608337543904781; 
 linqkit: 0.013455030508339405; 
 predicatebuilder: 3.180351759723976e-09; 
 contentpresenter: 2.3578350383246516e-09; 
 dynamic-linq: 4.3980041830593564e-10; 
 facebook-chatbot: 2.4825427824559654e-10; 
 ado.net-entity-data-model: 7.467736151678395e-11; 
 edmx: 4.4726066600331293e-11; 
 entity-framework-6: 1.275267218214804e-12; 
 iequalitycomparer: 5.270898734838214e-13; 
 itemssource: 9.262196858008526e-14; 
 navigation-properties: 6.699348920665565e-14; 
 oracle-cloud-infrastructure: 5.4623270967155135e-14; 
 icomparer: 4.598513749149748e-14; 
 table-per-hierarchy: 4.487922078237616e-14; 
 topic_415
datepicker: 0.9174478054046631; 
 timepicker: 0.08255220204591751; 
 pickadate: 4.036383449701475e-10; 
 uidatepicker: 1.3048642721891213e-10; 
 android-timepicker: 5.248560266957192e-11; 
 bootstrap-datepicker: 3.544088286733249e-11; 
 datepickerdialog: 7.62418166794232e-12; 
 android-datepicker: 1.2942879190278034e-12; 
 onselect: 1.7933338191181147e-13; 
 datebox: 1.0762279332695093e-13; 
 maxdate: 3.806495930632793e-14; 
 bootstrap-daterangepicker: 1.0739147879345115e-14; 
 persian: 7.962219818473566e-15; 
 jquery-ui-datepicker: 4.329435691652643e-15; 
 getdate: 2.2860900438713373e-16; 
 hijri: 2.186236903139774e-16; 
 angular-bootstrap: 1.280790313911551e-16; 
 topic_416
visual-studio-code: 0.698698103427887; 
 vscode-settings: 0.07221471518278122; 
 vscode-extensions: 0.05071631073951721; 
 dvcs: 0.03731130063533783; 
 cmdlets: 0.01606154814362526; 
 turing-machines: 0.016061527654528618; 
 vscode-debugger: 0.015065483748912811; 
 computation: 0.012907342985272408; 
 svn-checkout: 0.010832207277417183; 
 svn-hooks: 0.008712767623364925; 
 post-commit: 0.008466552942991257; 
 sourceforge: 0.008259039372205734; 
 datapager: 0.0076780011877417564; 
 codefluent: 0.00614240113645792; 
 mirc: 0.00600763875991106; 
 starteam: 0.005353847052901983; 
 hex-editors: 0.005226128734648228; 
 omnisharp: 0.005187838803976774; 
 winmerge: 0.004606800619512796; 
 munin: 0.00448229257017374; 
 topic_417
apple-push-notifications: 0.565104603767395; 
 testflight: 0.1272229254245758; 
 nginx-location: 0.0686577558517456; 
 facebook-social-plugins: 0.05420243367552757; 
 erase: 0.04945771023631096; 
 distinct-values: 0.03417809307575226; 
 pushwoosh: 0.021793559193611145; 
 pushsharp: 0.02099890448153019; 
 devicetoken: 0.0152796171605587; 
 socialshare: 0.011902017518877983; 
 apns-php: 0.011419503949582577; 
 xcode9.3: 0.011017408221960068; 
 apple-music: 0.008765464648604393; 
 apn: 1.947664030055307e-09; 
 pushkit: 1.2754990397212396e-09; 
 urbanairship.com: 3.603124743012387e-10; 
 beta-testing: 3.371904977456097e-10; 
 remote-notifications: 2.9403676715666904e-10; 
 passbook: 1.7443765615993145e-12; 
 appstoreconnect: 1.3562135355721372e-12; 
 topic_418
angularjs-ng-repeat: 0.7605383396148682; 
 angularjs-service: 0.15425917506217957; 
 angularjs-factory: 0.045161403715610504; 
 angularjs-ng-change: 0.02648788131773472; 
 angularjs-ng-init: 0.013497677631676197; 
 angularjs-ng-include: 2.9103384804329835e-05; 
 angularjs-ng-click: 2.6373219952802174e-05; 
 ng-controller: 3.822263749952981e-08; 
 angularjs-orderby: 1.2707967123049002e-08; 
 angularjs-filter: 1.2299310903074456e-08; 
 angular-filters: 4.18595647033726e-09; 
 angularjs-resource: 1.3621892502868604e-09; 
 angular-ngmodel: 9.044934801138993e-10; 
 ng-show: 1.0006800943429539e-10; 
 ng-bind-html: 2.5386836730034723e-11; 
 angularjs-1.5: 1.5252616877847736e-11; 
 ng-switch: 1.3120989537929173e-11; 
 angularjs-injector: 7.940963858699135e-12; 
 angularjs-select2: 7.457854646342188e-12; 
 angularjs-forms: 6.690458950742162e-12; 
 topic_419
centos: 0.6644335985183716; 
 rename: 0.24016506969928741; 
 linux-mint: 0.07292410731315613; 
 crx: 0.00857190415263176; 
 passwd: 0.007487462367862463; 
 powerview: 0.006417824886739254; 
 yum: 2.0558641011803047e-08; 
 mount: 3.028096662305302e-09; 
 selinux: 1.3402340348633857e-09; 
 plesk: 1.076280731204804e-09; 
 eucalyptus: 8.450677935201156e-10; 
 filenames: 3.7080696846381045e-10; 
 centos5: 9.929795180552148e-11; 
 munin: 2.170402746415334e-11; 
 mv: 7.018646514672655e-12; 
 openvz: 1.7488795784822986e-12; 
 dedicated-server: 1.0232658904235636e-12; 
 disk-partitioning: 6.129823211520335e-13; 
 systemctl: 2.081355514370678e-13; 
 vps: 7.247376527033667e-14; 
 topic_420
moq: 0.9506116509437561; 
 ef-model-first: 0.049382422119379044; 
 autofixture: 5.896850780118257e-06; 
 tdd: 1.6200650820863416e-09; 
 mspec: 4.0417190427799454e-11; 
 edmx: 1.625161290264021e-11; 
 moles: 1.5128332614411377e-11; 
 typemock: 8.134433231166138e-12; 
 pex: 1.9573761014801683e-12; 
 fakeiteasy: 1.70481120539967e-12; 
 extension-methods: 1.0938328151230414e-12; 
 verify: 3.420761395499239e-13; 
 sealed: 1.7128621654718956e-13; 
 httppostedfilebase: 1.406557975560524e-13; 
 shim: 1.0800032607593754e-13; 
 stubbing: 7.577818987537441e-14; 
 table-per-hierarchy: 6.491305431545469e-14; 
 xunit.net: 3.407799894052446e-14; 
 idatareader: 1.8127650259786715e-14; 
 urlhelper: 1.1801926894528664e-14; 
 topic_421
react-redux: 0.7826077938079834; 
 redux-thunk: 0.09412328153848648; 
 redux-saga: 0.09199319034814835; 
 saga: 0.016841011121869087; 
 mylyn: 0.01411183550953865; 
 redux: 0.00026999853434972465; 
 reducers: 5.289583350531757e-05; 
 react-router-redux: 9.079338170181472e-09; 
 react-boilerplate: 6.989372969279373e-10; 
 redux-observable: 3.266497350384867e-10; 
 redux-persist: 7.979127775170625e-11; 
 rerender: 4.22271974331867e-11; 
 reselect: 3.976448684217537e-11; 
 react-redux-form: 5.766052132288868e-12; 
 react-lifecycle: 3.6333382049530405e-12; 
 bugzilla: 4.995034876172089e-13; 
 immutable.js: 1.1802515074207237e-13; 
 react-native-router-flux: 3.485981373897197e-14; 
 side-effects: 1.0724377318810895e-14; 
 react-dnd: 9.008075115370974e-15; 
 topic_422
jsf-2: 0.7722554206848145; 
 jsf-2.2: 0.10619635134935379; 
 composite-component: 0.03744691610336304; 
 cordova-3: 0.031834617257118225; 
 mojarra: 0.021190889179706573; 
 view-scope: 0.012095256708562374; 
 dynamic-columns: 0.011804969981312752; 
 coldbox: 0.005846981890499592; 
 tomahawk: 0.0010935062309727073; 
 icefaces-3: 0.00020056751964148134; 
 managed-bean: 2.861715984181501e-05; 
 jsf: 5.516143119166372e-06; 
 facelets: 1.840126628849248e-07; 
 faces-config: 3.953629246211676e-08; 
 session-scope: 3.181202856694654e-08; 
 viewexpiredexception: 2.539728960471166e-08; 
 backing-beans: 1.6757375931319984e-08; 
 primefaces-extensions: 1.4201052778162193e-08; 
 facescontext: 6.626768911388581e-09; 
 prettyfaces: 6.535307850441541e-09; 
 topic_423
couchbase: 0.2914935052394867; 
 webhooks: 0.2293931245803833; 
 cas: 0.13887234032154083; 
 stateless: 0.03820142149925232; 
 consistency: 0.03801688179373741; 
 n1ql: 0.03801688179373741; 
 wix3.6: 0.03671538084745407; 
 hector: 0.0332186222076416; 
 silent: 0.027220824733376503; 
 prettyfaces: 0.022976219654083252; 
 astyanax: 0.017808856442570686; 
 webmethods: 0.01707068644464016; 
 jasig: 0.013841097243130207; 
 wix-extension: 0.01245686411857605; 
 merge-module: 0.012178521603345871; 
 geronimo: 0.011903343722224236; 
 seam3: 0.01088793110102415; 
 jsf-2.3: 0.009688728488981724; 
 spring-data-couchbase: 2.2131178411655128e-05; 
 couchbase-view: 1.640359914745204e-05; 
 topic_424
undefined-behavior: 0.25034844875335693; 
 forward-declaration: 0.1265450119972229; 
 dev-c++: 0.10576681047677994; 
 circular-buffer: 0.05079115554690361; 
 spl: 0.04992539808154106; 
 libuv: 0.04444226250052452; 
 jpgraph: 0.03131159394979477; 
 libsodium: 0.029868662357330322; 
 virtual-destructor: 0.029724370688199997; 
 diamond-problem: 0.029435766860842705; 
 data-distribution-service: 0.025972750037908554; 
 stdatomic: 0.02525128424167633; 
 juce: 0.023231182247400284; 
 x-cart: 0.02279830351471901; 
 multiple-definition-error: 0.022654009982943535; 
 c++-faq: 0.02222113125026226; 
 front-controller: 0.020201027393341064; 
 initialization-list: 0.019623855128884315; 
 contao: 0.01947956345975399; 
 flip-flop: 0.018325218930840492; 
 topic_425
node.js: 0.9777582287788391; 
 sequelize.js: 0.022239170968532562; 
 javascript: 2.6085683657584013e-06; 
 express: 7.199103091437564e-09; 
 supertest: 7.620924030726783e-11; 
 ejs: 2.0292413582811974e-11; 
 bunyan: 9.358488810284893e-12; 
 nodemailer: 6.1305717447002195e-12; 
 sequelize-cli: 3.3556065912043742e-12; 
 nodemon: 2.3801013243618385e-13; 
 node-cluster: 2.18138048314713e-13; 
 node.js-stream: 1.7774373823904038e-13; 
 mongodb: 4.936209861000629e-14; 
 npm: 4.5979357338665414e-14; 
 sails.js: 3.8115964242279796e-14; 
 jsdom: 3.4239223191704846e-14; 
 nock: 3.141563208576906e-14; 
 node-mssql: 3.1244236662958044e-14; 
 node-gyp: 1.7532374139181232e-14; 
 forever: 1.154907654834494e-14; 
 topic_426
reshape: 0.22062905132770538; 
 interpreter: 0.16086235642433167; 
 pyserial: 0.13948506116867065; 
 bazel: 0.13476453721523285; 
 sampling: 0.09049621224403381; 
 mxnet: 0.04685138538479805; 
 text-analysis: 0.04034919664263725; 
 pbs: 0.032689083367586136; 
 qsub: 0.03162023052573204; 
 mixed-mode: 0.021910300478339195; 
 torque: 0.021555200219154358; 
 convex-optimization: 0.015587374567985535; 
 abbreviation: 0.013895087875425816; 
 pruning: 0.010332244448363781; 
 snow: 0.009886888787150383; 
 xapian: 0.009085048921406269; 
 cvxopt: 6.728228640895395e-07; 
 dcast: 1.2510612101834795e-08; 
 cvxpy: 2.339298976750115e-09; 
 sungridengine: 1.4543799498056842e-09; 
 topic_427
dompdf: 0.46181929111480713; 
 squid: 0.23060540854930878; 
 var-dump: 0.09066017717123032; 
 tld: 0.07392759621143341; 
 webmail: 0.07271067798137665; 
 proxies: 0.0371159128844738; 
 filter-var: 0.03316093608736992; 
 roundcube: 3.2703046937143654e-09; 
 domain-name: 2.3804194171361814e-09; 
 laravel-excel: 2.467700739930412e-12; 
 mx-record: 7.837679615561866e-13; 
 idn: 3.5859959749903747e-13; 
 country-codes: 3.351254549473909e-13; 
 input-sanitization: 2.4740029903186356e-13; 
 stripes: 3.544584873012291e-14; 
 man-in-the-middle: 3.502317928944301e-14; 
 multiple-domains: 4.358295798231491e-16; 
 curl-multi: 2.8740177301429153e-16; 
 page-break: 1.8791341231541928e-16; 
 topic_428
wcf: 0.9580420851707458; 
 wcf-client: 0.014730187132954597; 
 nettcpbinding: 0.008795584551990032; 
 svcutil.exe: 0.007442416623234749; 
 basichttpbinding: 0.0047940583899617195; 
 local-database: 0.0040208385325968266; 
 wcf-configuration: 0.0021070740185678005; 
 webhttpbinding: 6.757148366887122e-05; 
 wcf-binding: 1.887202358830109e-07; 
 was: 1.0052594312526253e-08; 
 impersonation: 2.991642045202525e-09; 
 wshttpbinding: 1.998823995208454e-09; 
 datacontract: 6.510202932297204e-10; 
 duplex: 5.792695767503631e-10; 
 wcf-endpoint: 6.429674848096312e-11; 
 service-reference: 1.2369286150892833e-11; 
 endpoints: 1.0747269393873715e-11; 
 channelfactory: 8.978135075665694e-12; 
 svc: 7.728103747217663e-12; 
 dataservice: 3.098498671180727e-12; 
 topic_429
report: 0.5749599933624268; 
 rdlc: 0.24710385501384735; 
 parseint: 0.05679181590676308; 
 partial-classes: 0.03685523569583893; 
 windowsiot: 0.02432628534734249; 
 tweetsharp: 0.02121691033244133; 
 code-design: 0.013626378029584885; 
 generic-type-argument: 0.012894760817289352; 
 nested-generics: 0.01207168959081173; 
 stimulsoft: 0.0001398184831487015; 
 windows-iot-core-10: 5.054199846199481e-06; 
 report-designer: 4.538605480775004e-06; 
 dynamic-rdlc-generation: 2.9798445666529005e-06; 
 reporting: 6.601645168302639e-07; 
 cognos: 4.66775773588779e-09; 
 ssrs-grouping: 2.915961028193692e-09; 
 windows-10-iot-core: 1.5154325572197536e-09; 
 rdl: 1.1045886427751839e-09; 
 page-break: 1.0601583846914231e-11; 
 rml: 8.111797366629203e-13; 
 topic_430
java-8: 0.8226704001426697; 
 executable-jar: 0.09229244291782379; 
 spring-tool-suite: 0.051870353519916534; 
 method-reference: 0.01889192685484886; 
 pcf: 0.007725666742771864; 
 batch-updates: 0.006548573262989521; 
 default-method: 6.432827603930491e-07; 
 functional-interface: 2.412902766479874e-08; 
 flatmap: 7.171200522293475e-09; 
 optional: 5.482713838489417e-09; 
 completable-future: 4.871415271168189e-09; 
 java-6: 9.218426022528092e-10; 
 collectors: 7.740428853431069e-10; 
 forkjoinpool: 5.018636617393213e-10; 
 anonymous-inner-class: 1.5768165939622492e-10; 
 java-time: 4.3686856215918723e-11; 
 tcserver: 8.875935468381779e-13; 
 retrolambda: 6.022854740980743e-13; 
 junit5: 1.2122420444847168e-14; 
 fork-join: 5.118426553229289e-15; 
 topic_431
loops: 0.9929696321487427; 
 traceback: 0.007030388340353966; 
 infinite: 1.6794089719145838e-13; 
 topic_432
safari: 0.837762713432312; 
 autofill: 0.05963851511478424; 
 google-dfp: 0.031057612970471382; 
 freeglut: 0.02872833050787449; 
 reinterpret-cast: 0.022933458909392357; 
 address-bar: 0.010544780641794205; 
 double-click-advertising: 0.009334724396467209; 
 mobile-safari: 2.7615094211341784e-08; 
 safari-web-inspector: 1.4395426184421467e-08; 
 safari-extension: 7.420532632806953e-09; 
 safaridriver: 1.708844871162185e-11; 
 sfsafariviewcontroller: 9.74842429002365e-12; 
 opera: 4.789842134034217e-12; 
 css-filters: 4.072022938023806e-13; 
 iphone-standalone-web-app: 3.1225862824266204e-13; 
 glut: 2.8746319560846167e-13; 
 srcset: 6.869815995366388e-14; 
 adsense: 3.6704133113928117e-14; 
 opengl-compat: 1.3822190259222579e-14; 
 vast: 5.2896356287919066e-15; 
 topic_433
web-standards: 0.6466019153594971; 
 xhtml-1.0-strict: 0.35339805483818054; 
 css3pie: 1.9293864703324223e-15; 
 topic_434
networking: 0.9327638745307922; 
 packet: 0.03824089467525482; 
 dhcp: 0.019013501703739166; 
 sniffing: 0.009981319308280945; 
 jpcap: 3.7587921042359085e-07; 
 tun: 3.457483899182989e-08; 
 reachability: 3.4418441430261737e-09; 
 network-protocols: 1.7434721721887314e-10; 
 ppp: 1.6697157545486618e-10; 
 nic: 7.095649762201006e-11; 
 packet-loss: 5.014939158387577e-11; 
 netstat: 4.7668560071434385e-11; 
 packets: 3.624948605174261e-11; 
 proxmox: 2.15731564556787e-11; 
 802.11: 1.772392302368253e-11; 
 arp: 1.698945498174176e-11; 
 udp: 1.2232475449236446e-11; 
 network-interface: 1.0333220390457143e-11; 
 iperf: 5.701188219436881e-12; 
 subnet: 5.300834424182277e-12; 
 topic_435
cross-platform: 0.33226558566093445; 
 hook: 0.28994327783584595; 
 desktop: 0.1272890269756317; 
 hid: 0.06028343737125397; 
 armadillo: 0.05520574003458023; 
 stm32f4discovery: 0.024927662685513496; 
 fltk: 0.02267496846616268; 
 quantlib: 0.017006227746605873; 
 windows-mobile-6: 0.014682898297905922; 
 socrata: 0.014429525472223759; 
 detours: 0.013205592520534992; 
 int64: 0.012368164956569672; 
 soda: 0.008760783821344376; 
 ntdll: 0.00695709278807044; 
 stm32f4: 7.732667839377427e-09; 
 keyboard-hook: 7.734560214522901e-10; 
 setwindowshookex: 2.5640500833645774e-10; 
 stm32: 1.6281040404741987e-10; 
 int32: 5.4593128628877e-11; 
 drupal-hooks: 3.506706730549425e-11; 
 topic_436
ocaml: 0.36570268869400024; 
 elm: 0.09787386655807495; 
 signature: 0.08671170473098755; 
 google-cast: 0.07005379348993301; 
 agile: 0.06476576626300812; 
 isolatedstorage: 0.05795494467020035; 
 scrum: 0.04509008675813675; 
 avi: 0.030144141986966133; 
 office365-apps: 0.02824949473142624; 
 roleprovider: 0.024403825402259827; 
 pysnmp: 0.022913560271263123; 
 rascal: 0.020432431250810623; 
 glimpse: 0.01992792636156082; 
 application-cache: 0.012990967370569706; 
 opam: 0.01109909825026989; 
 user-stories: 0.010468468070030212; 
 hippocms: 0.009711711667478085; 
 virtocommerce: 0.00769369350746274; 
 backlog: 0.007189165335148573; 
 guacamole: 0.006621621549129486; 
 topic_437
privileges: 0.27637097239494324; 
 duplicate-removal: 0.2067507952451706; 
 grant: 0.12798859179019928; 
 bookshelf.js: 0.12775418162345886; 
 regexp-replace: 0.06375988572835922; 
 connect-by: 0.048054322600364685; 
 bulkupdate: 0.041725218296051025; 
 denial-of-service: 0.04008433595299721; 
 node-streams: 0.03703698888421059; 
 extjs-grid: 0.030473459511995316; 
 ddos: 1.2557378568089916e-06; 
 duplicate-data: 4.101646522425284e-10; 
 rights: 2.4904367457168064e-10; 
 create-view: 1.0101958158870161e-10; 
 administrator: 2.962410872164867e-11; 
 elevated-privileges: 2.0826831578779625e-11; 
 file-manipulation: 1.5822922833086395e-11; 
 any: 6.463126474981484e-12; 
 database-permissions: 2.3173652666935718e-12; 
 impersonation: 8.15572435974854e-13; 
 topic_438
com: 0.722706139087677; 
 angular-ngmodel: 0.09231291711330414; 
 unmanaged: 0.090947724878788; 
 com+: 0.026718737557530403; 
 dcom: 0.022298119962215424; 
 plinq: 0.021518010646104813; 
 globalize: 0.007996085099875927; 
 safearray: 0.00774878915399313; 
 regfreecom: 0.006630927789956331; 
 managed: 0.0011169221252202988; 
 ole: 3.040493083972251e-06; 
 sta: 1.621144747332437e-06; 
 comtypes: 5.538805680771475e-07; 
 regasm: 2.4919614816099056e-07; 
 com-interop: 1.6925181967053504e-07; 
 late-binding: 2.8897913395553587e-08; 
 side-by-side: 1.979080543890177e-08; 
 atl: 3.6159233385291145e-09; 
 variant: 2.0372887821196173e-09; 
 midl: 1.3328332881812344e-09; 
 topic_439
url-rewriting: 0.8195364475250244; 
 adobe-illustrator: 0.04438302665948868; 
 extendscript: 0.03552750125527382; 
 url-rewrite-module: 0.03370232507586479; 
 http-status-code-302: 0.028112320229411125; 
 siteminder: 0.013558361679315567; 
 zombie.js: 0.012340916320681572; 
 grunt-contrib-copy: 0.00691755348816514; 
 url-masking: 0.0059214262291789055; 
 clean-urls: 1.352155809541955e-08; 
 isapi-rewrite: 1.391130682870667e-10; 
 pretty-urls: 1.2038370300615497e-11; 
 iis-8.5: 7.389622767861592e-12; 
 yii-url-manager: 2.590001563912425e-12; 
 trailing-slash: 2.6954745943955083e-13; 
 after-effects: 7.509623009701281e-15; 
 cookieless: 5.450535889869965e-15; 
 friendly-url: 4.4965582567612315e-15; 
 short-url: 2.7082504177499333e-15; 
 multiple-domains: 2.575603787660489e-15; 
 topic_440
javacv: 0.29617130756378174; 
 cv2: 0.2652371823787689; 
 unix-socket: 0.15528319776058197; 
 dynamodb-queries: 0.08116380125284195; 
 python-extensions: 0.06799382716417313; 
 broken-pipe: 0.06186825782060623; 
 django-tinymce: 0.04073503986001015; 
 dynamo-local: 0.031546685844659805; 
 iplimage: 5.247587751000538e-07; 
 socat: 1.465439680714553e-07; 
 django-grappelli: 7.7437800616309e-10; 
 opencv-contour: 2.3867222087581297e-10; 
 video-capture: 1.5929280117177314e-10; 
 cascade-classifier: 5.275242395685886e-11; 
 template-matching: 3.8860234474746846e-11; 
 javacpp: 2.5960258248636237e-11; 
 python-embedding: 2.5032823036674756e-11; 
 orb: 1.972550378245841e-12; 
 haar-classifier: 7.590113975698698e-13; 
 keypoint: 7.095380598169665e-13; 
 topic_441
storyboard: 0.8657272458076477; 
 core-motion: 0.06592853367328644; 
 sinch: 0.05364871770143509; 
 xcode7.2: 0.014695520512759686; 
 cmmotionmanager: 6.908580818532073e-09; 
 nib: 1.889917333741664e-09; 
 size-classes: 1.2563508011709246e-09; 
 callkit: 2.937729781660181e-10; 
 swrevealviewcontroller: 1.3020186491463637e-11; 
 xcode7.1: 5.11659811741616e-12; 
 typhoon: 5.20278264914964e-13; 
 navigationcontroller: 1.951111933693253e-13; 
 tabbarcontroller: 1.9174221130117963e-13; 
 uicontainerview: 4.112245009031852e-14; 
 ibdesignable: 3.618654854931069e-14; 
 ecslidingviewcontroller: 2.9048635784116594e-14; 
 nstablecellview: 1.3313954397244001e-14; 
 ibinspectable: 1.1122626799621449e-14; 
 didselectrowatindexpath: 9.097006798569097e-15; 
 uistepper: 2.423762543953315e-15; 
 topic_442
android-alertdialog: 0.40158745646476746; 
 android-button: 0.15340736508369446; 
 searchview: 0.15229052305221558; 
 android-progressbar: 0.11479613184928894; 
 layout-inflater: 0.08942031115293503; 
 android-textinputlayout: 0.03895849362015724; 
 android-event: 0.024012001231312752; 
 networkonmainthread: 0.015157187357544899; 
 android-looper: 0.010370509698987007; 
 android-inputtype: 3.758858113656061e-09; 
 android-checkbox: 9.452726101866205e-11; 
 material-components-android: 1.9562813174944793e-11; 
 android-search: 7.002622873925057e-12; 
 android-gesture: 5.72295032544301e-12; 
 android-searchmanager: 2.9031417027314266e-12; 
 appcompatactivity: 2.352208055070304e-13; 
 android-textinputedittext: 2.310131252958314e-13; 
 android-runonuithread: 2.0318751021985992e-13; 
 android-theme: 1.704451534881475e-14; 
 android-styles: 4.802922026970113e-15; 
 topic_443
draggable: 0.32759878039360046; 
 form-submit: 0.2867587208747864; 
 children: 0.14722183346748352; 
 hammer.js: 0.0756419450044632; 
 eventtrigger: 0.06268730014562607; 
 quadtree: 0.03271596506237984; 
 new-window: 0.019980890676379204; 
 coin-change: 0.018004758283495903; 
 mobiscroll: 0.01745583303272724; 
 onselect: 0.011856792494654655; 
 droppable: 7.714142702752724e-05; 
 onsubmit: 9.682232793295498e-09; 
 enter: 2.5736859865510553e-10; 
 resizable: 3.960809111247521e-11; 
 pinch: 2.0703868307270223e-12; 
 framerjs: 2.2299317340573888e-13; 
 pinchzoom: 2.0253933350356662e-13; 
 octree: 1.5700873760848832e-13; 
 packery: 3.77279384491426e-14; 
 toggleclass: 3.426520677439482e-14; 
 topic_444
mpmovieplayercontroller: 0.5308898687362671; 
 mfmailcomposeviewcontroller: 0.20804822444915771; 
 mpmovieplayer: 0.08970452845096588; 
 iphone-developer-program: 0.08686427772045135; 
 catransform3d: 0.05443810299038887; 
 userlocation: 0.029822612181305885; 
 mfmailcomposer: 0.00023238503490574658; 
 messageui: 3.3649079078656996e-09; 
 in-house-distribution: 2.1478789580253732e-10; 
 mfmessagecomposeview: 1.6959485205081393e-10; 
 nsdata: 1.4025942907114342e-10; 
 core-animation: 2.4871483345068057e-11; 
 avaudiorecorder: 1.1437602601138686e-11; 
 gpuimage: 9.185300089975534e-13; 
 nszombie: 1.669626893338605e-13; 
 cgaffinetransform: 1.1763166666862307e-13; 
 movie: 2.956217830750972e-14; 
 iphone-sdk-3.2: 1.877364501920789e-14; 
 uidevice: 1.1164951341929852e-14; 
 reachability: 9.329649479730175e-15; 
 topic_445
jasper-reports: 0.6295731067657471; 
 ireport: 0.10583239793777466; 
 crosstab: 0.0961684137582779; 
 google-docs-api: 0.08862536400556564; 
 formtastic: 0.05319118872284889; 
 spinlock: 0.01822800002992153; 
 secure-coding: 0.008171171881258488; 
 jasperserver: 0.00019910259288735688; 
 dynamic-jasper: 5.7672400544106495e-06; 
 google-docs: 5.056218469690066e-06; 
 jaspersoft-studio: 3.35726070943565e-07; 
 dynamic-reports: 3.856224495280003e-08; 
 subreport: 2.301905055457354e-10; 
 zend-gdata: 1.3208260873920352e-10; 
 page-numbering: 1.1060051529135362e-12; 
 export-to-pdf: 1.5259805409301858e-13; 
 report-designer: 1.8115923512148453e-15; 
 interrupted-exception: 1.3062571535641396e-15; 
 blank-line: 1.227720391043619e-16; 
 detail: 1.1089704084799552e-16; 
 topic_446
timeout: 0.760090708732605; 
 qt-designer: 0.11443247646093369; 
 scrape: 0.08130228519439697; 
 extended-ascii: 0.016279498115181923; 
 abc: 0.01532747969031334; 
 qcheckbox: 0.012566627934575081; 
 http-status-code-504: 9.687238389233244e-07; 
 socket-timeout-exception: 9.267362988119032e-10; 
 timeoutexception: 3.9226057298169525e-12; 
 satchmo: 3.673290241857502e-13; 
 disconnect: 5.346713367459111e-15; 
 connection-timeout: 4.5559200197707074e-15; 
 reachability: 1.9561613935533675e-15; 
 qtablewidgetitem: 1.7079257887454044e-15; 
 interrupted-exception: 6.724072054802553e-16; 
 lettuce: 4.866492273178022e-16; 
 time-wait: 4.055363199673259e-16; 
 topic_447
html: 1.0; 
 canvasjs: 3.901758473603967e-13; 
 src: 2.498957597384284e-14; 
 topic_448
rest: 0.9710971713066101; 
 fatal-error: 0.024094611406326294; 
 country-codes: 0.003174220211803913; 
 activecollab: 0.0016339869471266866; 
 restful-url: 1.2956772807437567e-11; 
 resteasy: 6.248269588358946e-13; 
 jax-rs: 2.585511286404968e-13; 
 enunciate: 2.2912669483086956e-13; 
 restlet: 1.0167112648746396e-13; 
 jersey-test-framework: 8.770077491917355e-14; 
 grizzly: 7.067506031365606e-14; 
 webhttpbinding: 3.2581074882291616e-14; 
 hypermedia: 1.2379310291156347e-14; 
 apache-wink: 5.877206290676217e-15; 
 cxfrs: 2.4839927274919633e-15; 
 endpoint: 1.5825401368380607e-15; 
 http-method: 5.423424376931605e-16; 
 content-negotiation: 4.712661031440392e-16; 
 httpverbs: 3.5709217637324754e-16; 
 wiremock: 2.2930193027754695e-16; 
 topic_449
buffer: 0.7719975113868713; 
 tcpdump: 0.11830244958400726; 
 tshark: 0.049914292991161346; 
 flowlayout: 0.043993283063173294; 
 yourkit: 0.01579246111214161; 
 sniffing: 9.093199526688522e-10; 
 bpf: 5.392187252262204e-10; 
 memoryview: 4.006953623070242e-12; 
 flush: 1.7501592623064832e-12; 
 sniffer: 1.5088347238290112e-12; 
 read-write: 3.8659919991863856e-13; 
 libpcap: 2.958974482537152e-13; 
 flowlayoutpanel: 2.3199825849480604e-13; 
 iperf: 1.6300609679328198e-13; 
 fflush: 1.579552054474867e-13; 
 jpcap: 7.579549645255271e-14; 
 recv: 4.989440460724699e-14; 
 802.11: 4.579027925604752e-14; 
 stringio: 2.8162290343714327e-14; 
 packets: 2.481904960683571e-14; 
 topic_450
css: 0.9937804341316223; 
 html: 0.006219538860023022; 
 z-index: 9.781547316914385e-13; 
 responsive-images: 4.770067313012013e-15; 
 css-variables: 3.490964341670952e-15; 
 css-filters: 2.164863747251486e-15; 
 codepen: 1.402904565757921e-15; 
 sticky-footer: 4.710418511712537e-16; 
 twitter-bootstrap-2: 1.6015577205698143e-16; 
 topic_451
call: 0.38411206007003784; 
 calculator: 0.3383089601993561; 
 mouselistener: 0.11389428377151489; 
 taglib: 0.0952867791056633; 
 border-layout: 0.03905531018972397; 
 disabled-control: 0.02934260293841362; 
